T26,Population employed in research and development (R&D),,,,,
60,Bermuda,2018,R & D personnel: Total (number in full-time equivalent),62,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
60,Bermuda,2018,R & D personnel: Researchers - total (number in full-time equivalent),37,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
60,Bermuda,2018,R & D personnel: Researchers - women (number in full-time equivalent),14,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
60,Bermuda,2018,R & D personnel: Technicians - total (number in full-time equivalent),5,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
60,Bermuda,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),20,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
60,Bermuda,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),12,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2001,R & D personnel: Total (number in full-time equivalent),"1,100",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2001,R & D personnel: Researchers - total (number in full-time equivalent),"1,050",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2001,R & D personnel: Researchers - women (number in full-time equivalent),495,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2001,R & D personnel: Other supporting staff - total (number in full-time equivalent),50,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2001,R & D personnel: Other supporting staff - women (number in full-time equivalent),150,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2002,R & D personnel: Total (number in full-time equivalent),"1,090",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2002,R & D personnel: Researchers - total (number in full-time equivalent),"1,040",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),50,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Total (number in full-time equivalent),"2,497",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,646",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,351",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Technicians - total (number in full-time equivalent),258,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Technicians - women (number in full-time equivalent),362,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),593,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),410,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Total (number in full-time equivalent),"2,803",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Researchers - total (number in full-time equivalent),"1,618",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Researchers - women (number in full-time equivalent),608,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Technicians - total (number in full-time equivalent),541,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Technicians - women (number in full-time equivalent),215,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),644,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
68,Bolivia (Plurin. State of),2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),310,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2005,R & D personnel: Total (number in full-time equivalent),731,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2005,R & D personnel: Researchers - total (number in full-time equivalent),253,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2005,R & D personnel: Technicians - total (number in full-time equivalent),198,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),280,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2007,R & D personnel: Total (number in full-time equivalent),"1,554",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2007,R & D personnel: Researchers - total (number in full-time equivalent),745,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2007,R & D personnel: Technicians - total (number in full-time equivalent),270,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2007,R & D personnel: Other supporting staff - total (number in full-time equivalent),536,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Total (number in full-time equivalent),"2,173",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,253",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Researchers - women (number in full-time equivalent),547,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Technicians - total (number in full-time equivalent),227,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Technicians - women (number in full-time equivalent),115,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),210,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),118,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Total (number in full-time equivalent),"2,217",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Researchers - total (number in full-time equivalent),"1,566",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Researchers - women (number in full-time equivalent),744,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Technicians - total (number in full-time equivalent),169,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Technicians - women (number in full-time equivalent),96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),203,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
70,Bosnia and Herzegovina,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),129,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2005,R & D personnel: Researchers - women (number in full-time equivalent),533,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Total (number in full-time equivalent),"1,214",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Researchers - total (number in full-time equivalent),382,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Researchers - women (number in full-time equivalent),117,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Technicians - total (number in full-time equivalent),258,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Technicians - women (number in full-time equivalent),89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),574,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
72,Botswana,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),249,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2005,R & D personnel: Total (number in full-time equivalent),"165,691",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2005,R & D personnel: Researchers - total (number in full-time equivalent),"94,742",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2005,R & D personnel: Technicians - total (number in full-time equivalent),"92,515",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2010,R & D personnel: Total (number in full-time equivalent),"243,560",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2010,R & D personnel: Researchers - total (number in full-time equivalent),"134,284",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2010,R & D personnel: Technicians - total (number in full-time equivalent),"147,681",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2014,R & D personnel: Total (number in full-time equivalent),"316,495",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2014,R & D personnel: Researchers - total (number in full-time equivalent),"179,989",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
76,Brazil,2014,R & D personnel: Technicians - total (number in full-time equivalent),"196,661",The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2003,R & D personnel: Total (number in full-time equivalent),140,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2003,R & D personnel: Researchers - total (number in full-time equivalent),98,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2003,R & D personnel: Researchers - women (number in full-time equivalent),78,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2004,R & D personnel: Researchers - total (number in full-time equivalent),102,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2004,R & D personnel: Researchers - women (number in full-time equivalent),99,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Total (number in full-time equivalent),842,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Researchers - total (number in full-time equivalent),547,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Researchers - women (number in full-time equivalent),247,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Technicians - total (number in full-time equivalent),72,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Technicians - women (number in full-time equivalent),32,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),223,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
96,Brunei Darussalam,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),127,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Total (number in full-time equivalent),"15,853",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"10,053",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"4,673",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"3,778",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Technicians - women (number in full-time equivalent),"2,256",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,022",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,349",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Total (number in full-time equivalent),"16,574",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"10,979",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Researchers - women (number in full-time equivalent),"5,506",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Technicians - total (number in full-time equivalent),"3,704",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Technicians - women (number in full-time equivalent),"2,189",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,891",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,172",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Total (number in full-time equivalent),"16,986",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Researchers - total (number in full-time equivalent),"11,902",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Researchers - women (number in full-time equivalent),"5,940",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Technicians - total (number in full-time equivalent),"3,263",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Technicians - women (number in full-time equivalent),"1,970",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,821",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,139",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2015,R & D personnel: Total (number in full-time equivalent),"22,492",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"14,236",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2015,R & D personnel: Researchers - women (number in full-time equivalent),"6,818",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2017,R & D personnel: Total (number in full-time equivalent),"23,290",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2017,R & D personnel: Researchers - total (number in full-time equivalent),"15,094",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2017,R & D personnel: Researchers - women (number in full-time equivalent),"7,003",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2018,R & D personnel: Total (number in full-time equivalent),"25,809",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
100,Bulgaria,2018,R & D personnel: Researchers - total (number in full-time equivalent),"16,521",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2005,R & D personnel: Total (number in full-time equivalent),942,Partial data.;Head count instead of Full-time equivalent.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2005,R & D personnel: Researchers - total (number in full-time equivalent),301,Partial data.;Head count instead of Full-time equivalent.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2005,R & D personnel: Researchers - women (number in full-time equivalent),37,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2005,R & D personnel: Technicians - total (number in full-time equivalent),225,Partial data.;Head count instead of Full-time equivalent.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),416,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Total (number in full-time equivalent),"2,548",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Researchers - total (number in full-time equivalent),742,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Researchers - women (number in full-time equivalent),160,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Technicians - total (number in full-time equivalent),608,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Technicians - women (number in full-time equivalent),141,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),796,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),256,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
